trial_nb	singe	session	choice	condition
1	1	1	23	0
2	1	1	22	0
3	1	1	24	0
4	1	1	25	0
5	1	1	19	0
6	1	1	1400	0
7	1	1	18	0
8	1	1	17	0
9	1	1	12	0
10	1	1	21	0
11	1	1	14	0
12	1	1	13	0
13	1	1	16	0
14	1	1	20	0
15	1	1	1500	0
16	1	1	1	0
17	1	1	11	0
18	1	1	7	0
19	1	1	6	0
20	1	1	8	0
21	1	1	900	0
22	1	1	5	0
23	1	1	1000	0
24	1	1	15	0
25	1	1	1000	0
26	1	1	0	0
27	1	1	0	0
28	1	1	0	0
29	1	1	0	0
30	1	1	0	0
31	1	1	0	0
32	1	1	0	0
33	1	1	0	0
34	1	1	0	0
35	1	1	0	0
36	1	1	0	0
37	1	1	0	0
38	1	1	0	0
39	1	1	0	0
40	1	1	0	0
41	1	1	0	0
42	1	1	0	0
43	1	1	0	0
44	1	1	0	0
45	1	1	0	0
46	1	1	0	0
47	1	1	0	0
48	1	1	0	0
49	1	1	0	0
50	1	1	0	0
51	1	1	0	0
52	1	1	0	0
53	1	1	0	0
54	1	1	0	0
55	1	1	0	0
56	1	1	0	0
57	1	1	0	0
58	1	1	0	0
59	1	1	0	0
60	1	1	0	0
61	1	1	0	0
62	1	1	0	0
63	1	1	0	0
64	1	1	0	0
65	1	1	0	0
66	1	1	0	0
67	1	1	0	0
68	1	1	0	0
69	1	1	0	0
70	1	1	0	0
71	1	1	0	0
72	1	1	0	0
73	1	1	0	0
74	1	1	0	0
75	1	1	0	0
76	1	1	0	0
77	1	1	0	0
78	1	1	0	0
79	1	1	0	0
80	1	1	0	0
81	1	1	0	0
82	1	1	0	0
83	1	1	0	0
84	1	1	0	0
85	1	1	0	0
86	1	1	0	0
87	1	1	0	0
88	1	1	0	0
89	1	1	0	0
90	1	1	0	0
91	1	1	0	0
92	1	1	0	0
93	1	1	0	0
94	1	1	0	0
95	1	1	0	0
96	1	1	0	0
97	1	1	0	0
98	1	1	0	0
99	1	1	0	0
100	1	1	0	0
1	1	2	24	0
2	1	2	23	0
3	1	2	18	0
4	1	2	19	0
5	1	2	20	0
6	1	2	15	0
7	1	2	14	0
8	1	2	16	0
9	1	2	21	0
10	1	2	22	0
11	1	2	11	0
12	1	2	12	0
13	1	2	6	0
14	1	2	1	0
15	1	2	7	0
16	1	2	2	0
17	1	2	1300	0
18	1	2	17	0
19	1	2	13	0
20	1	2	25	0
21	1	2	10	0
22	1	2	5	0
23	1	2	8	0
24	1	2	3	0
25	1	2	2	0
26	1	2	0	0
27	1	2	0	0
28	1	2	0	0
29	1	2	0	0
30	1	2	0	0
31	1	2	0	0
32	1	2	0	0
33	1	2	0	0
34	1	2	0	0
35	1	2	0	0
36	1	2	0	0
37	1	2	0	0
38	1	2	0	0
39	1	2	0	0
40	1	2	0	0
41	1	2	0	0
42	1	2	0	0
43	1	2	0	0
44	1	2	0	0
45	1	2	0	0
46	1	2	0	0
47	1	2	0	0
48	1	2	0	0
49	1	2	0	0
50	1	2	0	0
51	1	2	0	0
52	1	2	0	0
53	1	2	0	0
54	1	2	0	0
55	1	2	0	0
56	1	2	0	0
57	1	2	0	0
58	1	2	0	0
59	1	2	0	0
60	1	2	0	0
61	1	2	0	0
62	1	2	0	0
63	1	2	0	0
64	1	2	0	0
65	1	2	0	0
66	1	2	0	0
67	1	2	0	0
68	1	2	0	0
69	1	2	0	0
70	1	2	0	0
71	1	2	0	0
72	1	2	0	0
73	1	2	0	0
74	1	2	0	0
75	1	2	0	0
76	1	2	0	0
77	1	2	0	0
78	1	2	0	0
79	1	2	0	0
80	1	2	0	0
81	1	2	0	0
82	1	2	0	0
83	1	2	0	0
84	1	2	0	0
85	1	2	0	0
