Date	session	portes	Injection	singe	real_nmb_session
22/06/2022	1	clear	no	Oscar	96
23/06/2022	2	blue	no	Oscar	97
24/06/2022	3	blue	no	Oscar	98
28/06/2022	4	clear	sham	Oscar	99
29/06/2022	5	clear	no	Oscar	100
01/07/2022	6	clear	sham	Oscar	101
04/07/2022	7	clear	DCZ	Oscar	102
05/07/2022	8	blue	sham	Oscar	103
06/07/2022	9	clear	DCZ	Oscar	104
18/07/2022	10	blue	DCZ	Oscar	105
20/05/2022	11	blue	DCZ	Oscar	106
21/05/2022	12	blue	sham	Oscar	107
22/05/2022	13	blue	DCZ	Oscar	108
08/08/2022	14	clear	DCZ	Oscar	109
09/08/2022	15	clear	sham	Oscar	110
10/08/2022	16	clear	DCZ	Oscar	111
11/08/2022	17	clear	sham	Oscar	112
12/08/2022	18	clear	DCZ	Oscar	113
15/08/2022	19	blue	DCZ	Oscar	114
17/08/2022	20	blue	DCZ	Oscar	115
18/08/2022	21	blue	sham	Oscar	116
19/08/2022	22	blue	DCZ	Oscar	117
22/08/2022	23	clear	DCZ	Oscar	118
12/09/2022	24	clear	DCZ	Oscar	119
15/09/2022	25	clear	DCZ	Oscar	120
20/09/2022	26	blue	DCZ	Oscar	121
26/09/2022	27	clear	DCZ	Oscar	122
27/09/2022	28	blue	sham	Oscar	123
28/09/2022	29	blue	DCZ	Oscar	124
29/09/2022	30	clear	sham	Oscar	125
03/10/2022	31	blue	no	Oscar	126
05/10/2022	32	blue	DCZ	Oscar	127
06/10/2022	33	clear	sham	Oscar	128
01/11/2022	34	blue	DCZ	Oscar	129
02/11/2022	35	blue	sham	Oscar	130
03/11/2022	36	blue	sham	Oscar	131
04/11/2022	37	clear	DCZ	Oscar	132
07/11/2022	38	blue	sham	Oscar	133
08/11/2022	39	clear	sham	Oscar	134
09/11/2022	40	clear	sham	Oscar	135
10/11/2022	41	blue	sham	Oscar	136
11/11/2022	42	clear	sham	Oscar	137
14/11/2022	43	blue	sham	Oscar	138
16/11/2022	44	blue	sham	Oscar	139
17/11/2022	45	clear	sham	Oscar	140
15/09/2022	1	clear	no	Violette	89
19/09/2022	2	blue	no	Violette	90
20/09/2022	3	blue	no	Violette	91
26/09/2022	4	clear	DCZ	Violette	92
27/09/2022	5	blue	sham	Violette	93
28/09/2022	6	clear	DCZ	Violette	94
29/09/2022	7	blue	sham	Violette	95
03/10/2022	8	blue	no	Violette	96
05/10/2022	9	blue	DCZ	Violette	97
06/10/2022	10	clear	sham	Violette	98
31/10/2022	11	blue	DCZ	Violette	99
01/11/2022	12	clear	sham	Violette	100
02/11/2022	13	blue	DCZ	Violette	101
03/11/2022	14	blue	sham	Violette	102
04/11/2022	15	blue	DCZ	Violette	103
07/11/2022	16	clear	DCZ	Violette	104
08/11/2022	17	clear	sham	Violette	105
09/11/2022	18	clear	DCZ	Violette	106
10/11/2022	19	clear	sham	Violette	107
11/11/2022	20	clear	DCZ	Violette	108
14/11/2022	21	blue	DCZ	Violette	109
16/11/2022	22	blue	DCZ	Violette	110
17/11/2022	23	blue	sham	Violette	111
18/11/2022	24	blue	DCZ	Violette	112
21/11/2022	25	clear	DCZ	Violette	113
22/11/2022	26	clear	sham	Violette	114
23/11/2022	27	clear	DCZ	Violette	115
24/11/2022	28	clear	sham	Violette	114
29/11/2022	29	blue	DCZ	Violette	115
01/12/2022	30	blue	DCZ	Violette	117
05/12/2022	31	clear	DCZ	Violette	118
08/12/2022	32	clear	DCZ	Violette	119
09/12/2022	33	clear	sham	Violette	120
12/12/2022	34	clear	DCZ	Violette	121
13/12/2022	35	blue	sham	Violette	122
14/12/2022	36	blue	sham	Violette	123
15/12/2022	37	clear	sham	Violette	124
19/12/2022	38	blue	DCZ	Violette	126
20/12/2022	39	blue	sham	Violette	127
21/12/2022	40	blue	sham	Violette	128
22/12/2022	41	clear	sham	Violette	129
23/12/2022	42	clear	sham	Violette	130
21/02/2023	43	blue	sham	Violette	131
22/02/2023	44	blue	sham	Violette	132
